Closest approaches at Tevis Pl; PA (lat: 37.450204, long: -122.143786, elevation: 26), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
Tevis Pl; PA	52.6	42.2	49.8	46.2	57.6	8.5	6.1	4.6	3.6	2.9	2.5	0.7	0.7	0.5	0.3	0.2	0.2	9.3	6.4	5.0	4.3	3.4	3.0	10.7	8.2	6.2	4.7	3.9	3.4	13.3	9.0	6.7	5.0	4.0	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a8d4cc (4)	Flight ID: UAL370	07/04/18 16:36:51	0.06	0.96	1530747411.5	37.450746	-122.144702	0.01	90.02	5097	233	-1342	345	16:36:56	6.262205e+06
ICAO: a11cc1 (0)	Flight ID: GTI1920	07/04/18 06:03:34	0.07	1.01	1530709414.6	37.451017	-122.144547	0.40	90.02	5372	280	-1649	346	06:03:39	4.518391e+06
ICAO: a2dafc (0)	Flight ID: ASA1048	07/04/18 06:04:50	1.64	1.95	1530709490.2	37.430099	-122.127763	-0.45	78.91	5550	261	-2057	73	06:04:59	5.177282e+05
ICAO: a2dafc (0)	Flight ID: ASA1048	07/04/18 06:06:22	4.43	4.51	1530709582.3	37.50558	-122.103026	0.41	90.00	4374	251	-1534	303	06:06:43	3.007700e+03
ICAO: ac66d5 (1)	Flight ID: Other	07/04/18 16:21:31	0.49	0.96	1530746491.4	37.447566	-122.135508	-0.39	74.09	4365	210	-303	13	16:21:35	7.073136e+06
ICAO: a219ea (0)	Flight ID: UAL872	07/04/18 06:17:30	4.99	5.05	1530710250.9	37.522247	-122.136763	0.00	90.00	4050	205	-640	281	06:17:54	1.303742e+03
ICAO: a0d344 (2)	Flight ID: SKW5655	07/04/18 10:39:39	0.58	0.95	1530725979.9	37.448514	-122.154061	0.11	90.01	3992	229	-909	347	10:39:44	6.663876e+06
ICAO: aa56f7 (0)	Flight ID: UAL1580	07/04/18 06:19:12	3.64	3.80	1530710352.1	37.409439	-122.101863	0.13	90.00	5770	208	-1510	52	06:19:29	1.439967e+04
ICAO: aa56f7 (0)	Flight ID: UAL1580	07/04/18 06:20:52	4.25	4.32	1530710452.8	37.485015	-122.079934	0.26	90.00	4093	200	-779	327	06:21:13	5.433574e+03
ICAO: a04424 (0)	Flight ID: SKW5316	07/04/18 06:22:40	0.87	1.28	1530710560.6	37.447479	-122.128232	0.01	90.01	4972	242	-1150	15	06:22:46	2.637177e+06
ICAO: a04424 (2)	Flight ID: SKW5446	07/04/18 10:41:09	0.34	0.99	1530726069.4	37.450484	-122.149894	0.04	90.01	4967	254	-849	357	10:41:14	5.273956e+06
ICAO: a04424 (6)	Flight ID: SKW5557	07/04/18 18:43:37	2.48	2.63	1530755017.2	37.46621	-122.184371	0.01	90.01	4547	243	-1411	27	18:43:49	1.295148e+05
ICAO: a68e81 (1)	Flight ID: ASA1744	07/04/18 11:53:01	2.73	2.91	1530730381.7	37.411789	-122.155521	-0.05	89.28	5300	204	-1209	113	11:53:15	8.673800e+04
ICAO: a68e81 (1)	Flight ID: ASA1744	07/04/18 11:54:01	2.62	2.73	1530730441.6	37.435593	-122.099713	-0.15	88.08	4025	205	-1147	26	11:54:14	1.252690e+05
ICAO: a68e81 (1)	Flight ID: ASA1744	07/04/18 11:54:42	2.95	3.04	1530730483.0	37.472458	-122.097932	0.20	90.00	3925	201	39	331	11:54:57	6.756117e+04
ICAO: a68e81 (2)	Flight ID: ASA1714	07/04/18 13:16:04	3.21	4.27	1530735364.2	37.468034	-122.197763	0.00	90.00	14875	377	2112	107	13:16:24	3.183103e+03
ICAO: a13c43 (1)	Flight ID: SKW3371	07/04/18 09:44:31	1.33	1.55	1530722671.6	37.452675	-122.119664	0.47	90.01	4193	240	-1344	356	09:44:38	1.391102e+06
ICAO: a4460e (0)	Flight ID: UAL2743	07/04/18 06:32:51	0.13	0.89	1530711171.4	37.451752	-122.145061	-0.12	85.00	4675	230	-1095	346	06:32:55	7.777067e+06
ICAO: a4460e (2)	Flight ID: UAL1121	07/04/18 12:00:10	1.22	1.50	1530730810.8	37.436737	-122.129283	-0.10	87.50	4575	201	-1555	55	12:00:17	1.883893e+06
