Closest approaches at SIDBY SFO Approach SE (lat: 37.450711, long: -122.144722, elevation: 25), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
SIDBY SFO Approach SE	52.8	42.3	49.7	46.3	57.9	9.2	6.2	4.6	3.8	3.1	2.5	1.3	1.1	0.7	0.5	0.4	0.3	9.3	6.0	5.0	4.5	3.7	2.8	12.0	7.9	5.8	5.0	4.0	3.6	14.0	9.7	6.7	5.3	4.3	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a76f67 (0)	Flight ID: Other	07/04/18 05:18:56	4.28	4.35	1530706736.6	37.509885	-122.121396	0.00	90.00	3975	234	-1664	283	05:19:17	4.371393e+03
ICAO: a8d4cc (0)	Flight ID: UAL1575	07/04/18 05:27:04	1.46	1.79	1530707224.4	37.430922	-122.135293	0.46	90.01	5499	255	-1803	72	05:27:12	7.512977e+05
ICAO: a8d4cc (4)	Flight ID: UAL370	07/04/18 16:36:52	0.05	0.96	1530747412.2	37.45141	-122.144943	0.07	90.01	5084	233	-1331	345	16:36:56	6.316127e+06
ICAO: a11cc1 (0)	Flight ID: GTI1920	07/04/18 06:03:35	0.07	1.01	1530709415.1	37.451672	-122.144765	0.44	90.02	5356	280	-1671	346	06:03:39	4.557098e+06
ICAO: a2dafc (0)	Flight ID: ASA1048	07/04/18 06:04:50	1.70	2.00	1530709490.2	37.430099	-122.127763	-0.49	78.04	5550	261	-2078	73	06:04:59	4.651443e+05
ICAO: a2dafc (0)	Flight ID: ASA1048	07/04/18 06:06:23	4.43	4.50	1530709583.0	37.506039	-122.103995	0.47	90.00	4357	251	-1513	303	06:06:44	3.034834e+03
ICAO: ac66d5 (1)	Flight ID: Other	07/04/18 16:21:31	0.55	0.99	1530746491.4	37.447566	-122.135508	-0.43	73.16	4365	210	-305	13	16:21:36	6.467884e+06
ICAO: a219ea (0)	Flight ID: UAL872	07/04/18 06:17:30	4.96	5.02	1530710250.9	37.522247	-122.136763	0.00	90.00	4050	205	-640	281	06:17:54	1.380910e+03
ICAO: a0d344 (2)	Flight ID: SKW5655	07/04/18 10:39:40	0.53	0.92	1530725980.5	37.449158	-122.15425	0.17	90.01	3987	229	-849	347	10:39:44	7.151977e+06
ICAO: aa56f7 (0)	Flight ID: UAL1580	07/04/18 06:19:11	3.69	3.85	1530710351.9	37.409273	-122.10213	0.11	90.00	5776	208	-1516	52	06:19:29	1.287514e+04
ICAO: aa56f7 (0)	Flight ID: UAL1580	07/04/18 06:20:53	4.27	4.34	1530710453.7	37.485707	-122.080524	0.34	90.00	4082	200	-720	327	06:21:14	5.206183e+03
ICAO: a04424 (0)	Flight ID: SKW5316	07/04/18 06:22:40	0.93	1.32	1530710560.8	37.447766	-122.128136	0.04	90.01	4968	242	-1147	15	06:22:47	2.388642e+06
ICAO: a04424 (2)	Flight ID: SKW5446	07/04/18 10:41:09	0.29	0.98	1530726069.9	37.451038	-122.149942	0.08	90.01	4958	254	-870	357	10:41:14	5.524107e+06
ICAO: a04424 (6)	Flight ID: SKW5557	07/04/18 18:43:37	2.42	2.57	1530755017.4	37.466339	-122.184294	0.03	90.01	4543	243	-1414	27	18:43:49	1.461872e+05
ICAO: a68e81 (1)	Flight ID: ASA1744	07/04/18 11:52:55	2.71	2.90	1530730375.2	37.414102	-122.162572	0.42	90.01	5431	203	-1440	113	11:53:08	8.858899e+04
