Closest approaches at EDDYY(3) (lat: 37.374903, long: -122.119028, elevation: 206.5), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
EDDYY(3)	42.4	36.6	42.3	40.5	45.7	8.0	5.2	3.4	2.7	2.2	1.9	0.7	0.4	0.2	0.2	0.1	0.2	7.3	4.5	3.1	2.3	2.0	1.7	12.0	7.5	4.8	3.7	3.1	2.3	12.0	8.2	5.5	4.5	3.8	3.4
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a923a9 (0)	Flight ID: UAL471	07/04/18 06:49:53	0.31	1.17	1530712193.7	37.374389	-122.113337	0.22	90.03	6159	294	-620	3	06:49:59	2.870017e+06
ICAO: a923a9 (2)	Flight ID: UAL435	07/04/18 22:21:14	4.22	4.32	1530768074.7	37.410309	-122.181642	-2.14	70.86	5150	221	-740	48	22:21:34	4.870975e+03
ICAO: ab97ff (1)	Flight ID: ASA1925	07/04/18 10:49:12	2.51	2.73	1530726552.5	37.378752	-122.16442	0.33	90.05	5976	242	-1537	5	10:49:25	1.043501e+05
ICAO: ab6542 (1)	Flight ID: UAL334	07/04/18 10:55:45	0.10	1.06	1530726945.4	37.37628	-122.119306	-0.06	87.45	5775	275	-1931	343	10:55:50	4.092238e+06
ICAO: c05f0c (1)	Flight ID: JZA112	07/04/18 11:33:14	4.20	4.36	1530729194.3	37.315552	-122.135688	0.47	90.02	6455	285	-990	103	11:33:34	3.480330e+03
ICAO: c05f0c (1)	Flight ID: JZA112	07/04/18 11:36:50	4.50	4.53	1530729410.2	37.407982	-122.048373	-1.37	78.97	2900	223	398	299	11:37:11	3.238048e+03
ICAO: aaf27c (0)	Flight ID: Other	07/04/18 06:56:15	3.06	3.22	1530712575.5	37.415803	-122.140324	-1.82	64.27	5600	193	-1169	100	06:56:30	4.827006e+04
ICAO: aaf27c (2)	Flight ID: UAL16B0	07/04/18 14:15:03	0.15	1.02	1530738903.9	37.376699	-122.12068	-0.13	84.47	5525	248	-1920	343	14:15:08	5.048854e+06
ICAO: aaf27c (4)	Flight ID: Other	07/04/18 19:18:02	4.69	4.86	1530757082.0	37.310082	-122.093512	0.00	90.00	6875	279	-384	344	19:18:24	1.375195e+03
ICAO: a1d4bc (1)	Flight ID: CPZ6033	07/04/18 10:35:49	2.79	2.98	1530725749.2	37.391896	-122.165153	0.15	90.05	5767	204	-1159	29	10:36:03	7.434658e+04
